,,,,,,
SR NO.,Car Name,Manufacturer,Color,Notes,,
90,LAMBORGHINI COUNTACH LPI 800 - 4,MAJORETTE,ORANGE,,,
91,MARUTI JIMNY,DETSKY,GREEN,,,
92,MCLAREN FORMULA 1 TEAM,HOT WHEELS,BROWN,,,
93,SUBARU BRAT,HOT WHEELS,BLUE,58 ANNIVERSARY,,
94,FORD ESCORT MK II RS 1800,MAJORETTE,GREY,,,
95,HONDA CIVIC TYPE R EKS,MAJORETTE,BLACK,,,
96,DATSUN 260Z,MAJORETTE,YELLOW,,,
97,TOYOTA YARIS,MAJORETTE,BLACK,,,
98,NISSAN CONCEPT 2020 VISION GRAN TURISMO,MAJORETTE,RED,,,
99,PORSCHE 935 K3,MAJORETTE,WHITE,PORSCHE 5 PACK,,
100,PORSCHE 911 GT3 CUP (992),MAJORETTE,TEAL,PORSCHE 5 PACK,,
101,15 JAGUAR F-TYPE PROJECT 7,HOT WHEELS,MAROON,,,
102,2009 NISSAN GT-R (R35),HOT WHEELS,PURPLE,,,
103,ASTON MARTIN VANTAGE GT3,HOT WHEELS,GREEN,,,
104,CELERO GT,HOT WHEELS,GREY,,,
105,RENAULT SPORT RS.01,HOT WHEELS,BLUE,,,
106,JADED,HOT WHEELS,GREEN,BATMAN,,
107,SPEEDBOX,HOT WHEELS,DARK BLUE,BATMAN,,
108,PROTOTYPE H-24,HOT WHEELS,SKY BLUE,BATMAN,,
109,BATMOBILE,HOT WHEELS,BLACK,BATMAN,,
110,PORSCHE VISION GRAN TURISMO,MAJORETTE,WHITE,DELUXE,,
111,PORSCHE 911 CARRERA RS 2.7,MAJORETTE,YELLOW,DELUXE,,
112,68 PORSCHE 906 CARRERA 6,HOT WHEELS,ORANGE,,,
113,CUSTOM GMC PANEL VAN / FOURGONNETTE GMC PERSONNALISE,HOT WHEELS,BLUE,,,
114,LAMBORGHINI URUS,MAJORETTE,YELLOW,LAMBO SET,,
115,LAMBORGHINI COUNTACH LPI 800-4,MAJORETTE,RED,LAMBO SET,,
116,LAMBORGHINI CENTENARIO,MAJORETTE,BLUE,LAMBO SET,,
117,LAMBORGHINI SIAN FKP 37,MAJORETTE,BLACK,LAMBO SET,,
118,LAMBORGHINI COUNTACH LPI 800-4,MAJORETTE,WHITE,LAMBO SET,,
119,RALLY FINALE,HOT WHEELS,LIGHT GREEN,,,
120,CUSTOM / PERSONNALISE’ 69 VOLKSWAGEN SQUAREBACK,HOT WHEELS,LIGHT GREEN,,,
121,20 TOYOTA TACOMA,HOT WHEELS,GREEN,,,
122,MERCEDES BENZ CLA,HOT WHEELS,BLUE,,,
123,2020 HONDA S200 20TH ANNIVERSARY / ANNIVERSAIRE,HOT WHEELS,WHITE,HONDA SET,,
124,2003 HONDA NSX-R,HOT WHEELS,WHITE,HONDA SET,,
125,1999 HONDA CIVIC TYPE R,HOT WHEELS,WHITE,HONDA SET,,
126,SAKURA SPRINTER,HOT WHEELS,WHITE,HONDA SET,,
127,PAGANI ZONDA CLIQUE,HOT WHEELS,ORANGE,TOONED,,
128,RAIJIN EXPRESS,HOT WHEELS,BLACK,,,
129,TOONED VOLKSWAGEN GOLF MK1,HOT WHEELS,WHITE,TOONED,,
130,68 SHELBY GT 500,HOT WHEELS,DARK GREEN,,,
131,LIL MAD,HOT WHEELS,CHAMPAGNE,,,
132,GONE MAD,HOT WHEELS,BROWN,,,
133,DESSERT DRIFTER / GELEE DE DERAPAGE,HOT WHEELS,RED,,,
134,WATTZUP,HOT WHEELS,YELLOW,,,
135,HEAD GASKET,HOT WHEELS,TEAL,,,
136,SLIDE KICK,HOT WHEELS,SKY BLUE,,,
137,TOONED PURPLE PASSION,HOT WHEELS,PURPLE,TOONED,,
138,DEORA,HOT WHEELS,DARK BLUE,TOONED,,
139,KICK SAUBER F1 TEAM / EQUIPE,HOT WHEELS,GREEN,,,
140,TOTAL DISPOSAL,HOT WHEELS,ORANGE,"X3, TH",,
141,JAGUAR XJC V12 COUPE,HOT WHEELS,DARK GREEN,,,
142,AMARU GTC,HOT WHEELS,BLUE,X2. TH,,
143,NISSAN SKYLINE GT-R (BNR 34),HOT WHEELS,BLUE,,,
144,18 CAMARO,HOT WHEELS,WHITE,,,
145,PEDAL DRIVER,HOT WHEELS,MAROON,,,
146,MASERATI SHAMAL,HOT WHEELS,YELLOW,,,
147,FIAT 500 C,HOT WHEELS,PURPLE,,,
148,ASTON MARTIN ARAMCO FORMULA ONE TEAM / EQUIPE,HOT WHEELS,TEAL,,,
149,ERIKENSTEIN ROD,HOT WHEELS,YELLOW,,,
150,83 CHEVY SILVERADO,HOT WHEELS,PINK,,,
151,FERRARI 365 GTB4 COMPETIZIONE,HOT WHEELS,WHITE,X2,,
152,94 TOYOTA SUPRA,HOT WHEELS,BLACK,,,
153,1920 PONTIAC FIREBIRD,HOT WHEELS,BLUE,,,
154,TOYOTA AE86 SPRINTER TRUENO,HOT WHEELS,PURPLE,,,
